,lineup_players,ast,block,defreb,fga,fg_made,fg_miss,fta,ft_made,ft_miss,foul,lineup_score,min,offreb,oppo_ast,oppo_block,oppo_defreb,oppo_fga,oppo_fg_made,oppo_fg_miss,oppo_fta,oppo_ft_made,oppo_ft_miss,oppo_foul,oppo_offreb,oppo_score,oppo_stl,oppo_three_fga,oppo_three_fg_made,oppo_three_fg_miss,oppo_ttlreb,oppo_turnover,oppo_two_fga,oppo_two_fg_made,oppo_two_fg_miss,plusminus,stl,three_fga,three_fg_made,three_fg_miss,ttlreb,turnover,two_fga,two_fg_made,two_fg_miss
10,"Ahmad Muhammad,Anthony Mosley,Capriest Gardner,Jake Digiorgio,Max Hisatake",2,0,4,7,5,2,0,0,0,2,10,3.9166666666666696,1,1,0,1,5,1,4,4,3,1,1,0,5,0,1,0,1,1,0,4,1,3,5,0,0,0,0,5,0,7,5,2
11,"Ahmad Muhammad,Anthony Mosley,Capriest Gardner,Jake Digiorgio,Milos Dugalic",0,1,1,1,0,1,2,2,0,1,2,0.9666666666666682,0,0,0,1,2,0,2,2,2,0,1,0,2,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1
12,"Ahmad Muhammad,Anthony Mosley,Capriest Gardner,Jake Digiorgio,Parker Joncus",1,0,1,2,2,0,0,0,0,1,4,1.7000000000000002,0,1,0,0,3,2,1,0,0,0,1,0,5,1,1,1,0,0,1,2,1,1,-1,0,0,0,0,1,2,2,2,0
13,"Ahmad Muhammad,Anthony Mosley,Capriest Gardner,Kohl Linder,Parker Joncus",0,0,1,2,1,1,0,0,0,2,2,1.51666666666667,0,0,0,0,3,1,2,1,0,1,0,2,2,0,0,0,0,2,0,3,1,2,0,0,0,0,0,1,0,2,1,1
14,"Ahmad Muhammad,Anthony Mosley,Capriest Gardner,Max Hisatake,Milos Dugalic",1,0,3,2,2,0,0,0,0,1,5,2.466666666666667,0,0,0,0,6,1,5,2,2,0,0,2,4,1,1,0,1,2,0,5,1,4,1,0,1,1,0,3,2,1,1,0
15,"Ahmad Muhammad,Anthony Mosley,Capriest Gardner,Max Hisatake,Parker Joncus",2,1,3,8,4,4,3,2,1,2,10,5.016666666666669,1,2,0,4,8,3,5,2,1,1,4,1,9,0,3,2,1,5,0,5,1,4,1,1,2,0,2,4,1,6,4,2
16,"Ahmad Muhammad,Anthony Mosley,Cody Mattson,Jake Digiorgio,Max Hisatake",1,0,2,3,1,2,0,0,0,1,2,3.299999999999997,0,0,0,2,8,2,6,2,0,2,0,5,4,1,3,0,3,7,2,5,2,3,-2,1,1,0,1,2,1,2,1,1
17,"Ahmad Muhammad,Anthony Mosley,Cody Mattson,Max Hisatake,Ricardo Whitehead",0,0,0,4,0,4,0,0,0,1,0,2.13333333333333,1,1,0,3,2,2,0,0,0,0,0,0,5,0,1,1,0,3,1,1,1,0,-5,1,1,0,1,1,1,3,0,3
18,"Ahmad Muhammad,Anthony Mosley,Jake Bruns,Jake Digiorgio,Parker Joncus",0,0,2,1,0,1,0,0,0,2,0,0.2,0,0,0,1,0,0,0,4,2,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,1,0,0,0
19,"Ahmad Muhammad,Anthony Mosley,Jake Bruns,Max Hisatake,Milos Dugalic",0,0,0,0,0,0,0,0,0,1,0,0.44999999999999896,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,1,0,0,0
20,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Kohl Linder,Max Hisatake",1,0,0,1,1,0,0,0,0,0,3,0.816666666666667,0,0,0,0,1,1,0,2,2,0,1,0,4,0,0,0,0,0,0,1,1,0,-1,0,1,1,0,0,0,0,0,0
21,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Kohl Linder,Parker Joncus",1,1,2,4,2,2,0,0,0,0,4,2.61666666666667,0,1,1,2,5,1,4,0,0,0,0,1,3,0,2,1,1,3,1,3,0,3,0,1,0,0,0,2,0,4,2,2
22,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Max Hisatake,Milos Dugalic",16,5,34,68,33,35,18,15,3,16,87,45.06666666666668,12,11,4,23,59,20,39,15,10,5,18,2,55,11,22,5,17,25,14,37,15,22,27,8,16,6,10,46,19,52,27,25
23,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Max Hisatake,Parker Joncus",22,6,67,118,50,68,43,28,15,31,134,80.68333333333332,22,18,7,43,123,49,74,26,17,9,39,9,126,19,38,11,27,52,21,85,38,47,10,15,32,6,26,89,34,86,44,42
24,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Milos Dugalic,Parker Joncus",8,4,23,42,21,21,15,11,4,8,59,24.866666666666667,9,7,1,13,45,13,32,6,5,1,12,4,34,1,17,3,14,17,4,28,10,18,19,1,11,6,5,32,5,31,15,16
25,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Milos Dugalic,Ricardo Whitehead",0,0,2,4,1,3,0,0,0,1,2,3.533333333333336,2,2,0,1,5,2,3,0,0,0,1,1,4,0,1,0,1,2,1,4,2,2,-2,0,2,0,2,4,1,2,1,1
26,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Parker Joncus,Ricardo Whitehead",0,0,1,2,1,1,0,0,0,1,2,0.916666666666667,0,1,0,0,1,1,0,2,1,1,0,0,3,0,0,0,0,0,0,1,1,0,-1,0,0,0,0,1,0,2,1,1
27,"Ahmad Muhammad,Anthony Mosley,Max Hisatake,Milos Dugalic,Parker Joncus",2,1,5,7,2,5,3,2,1,2,7,4.8,0,0,1,5,7,1,6,2,1,1,2,1,3,1,1,0,1,6,3,6,1,5,4,2,4,1,3,5,2,3,1,2
28,"Ahmad Muhammad,Anthony Mosley,Max Hisatake,Parker Joncus,Ricardo Whitehead",0,0,1,1,0,1,0,0,0,0,0,0.5,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1
29,"Ahmad Muhammad,Calvin Schmitz,Capriest Gardner,Jake Bruns,Jake Digiorgio",1,0,1,2,1,1,0,0,0,0,3,1.35,1,0,0,0,2,1,1,0,0,0,1,0,2,0,1,0,1,0,0,1,1,0,1,0,2,1,1,2,0,0,0,0
30,"Ahmad Muhammad,Calvin Schmitz,Capriest Gardner,Jake Digiorgio,Otis Reale",0,0,0,1,0,1,0,0,0,0,0,0.6666666666666661,0,1,1,0,1,1,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,-3,0,0,0,0,0,0,1,0,1
31,"Ahmad Muhammad,Calvin Schmitz,Capriest Gardner,Jake Digiorgio,Parker Joncus",0,0,1,1,0,1,0,0,0,0,0,0.266666666666667,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0
32,"Ahmad Muhammad,Calvin Schmitz,Capriest Gardner,Max Hisatake,Parker Joncus",2,0,1,3,3,0,2,2,0,0,9,2.8,0,1,0,0,3,2,1,0,0,0,3,0,5,0,2,1,1,0,1,1,1,0,4,1,1,1,0,1,0,2,2,0
33,"Ahmad Muhammad,Calvin Schmitz,Jake Bruns,Jake Digiorgio,Max Hisatake",2,1,1,6,3,3,0,0,0,4,7,2.8333333333333304,0,0,0,3,3,1,2,4,3,1,1,1,5,0,1,0,1,4,2,2,1,1,2,2,1,1,0,1,0,5,2,3
34,"Ahmad Muhammad,Calvin Schmitz,Jake Bruns,Jake Digiorgio,Milos Dugalic",0,0,2,2,2,0,0,0,0,0,4,1.5,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,0,1,0,0,2,0,2,0,0,0,0,0,2,0,2,2,0
35,"Ahmad Muhammad,Calvin Schmitz,Jake Bruns,Jake Digiorgio,Parker Joncus",1,0,0,1,1,0,2,1,1,0,4,0.75,0,0,0,1,1,1,0,0,0,0,1,0,2,0,0,0,0,1,0,1,1,0,2,0,1,1,0,0,0,0,0,0
36,"Ahmad Muhammad,Calvin Schmitz,Jake Bruns,Jake Digiorgio,Zach Parduhn",2,0,1,3,2,1,0,0,0,0,6,2.7333333333333303,0,1,0,1,3,1,2,0,0,0,0,0,3,0,3,1,2,1,1,0,0,0,3,0,2,2,0,1,1,1,0,1
37,"Ahmad Muhammad,Calvin Schmitz,Jake Bruns,Max Hisatake,Milos Dugalic",0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,1,0,0,0
38,"Ahmad Muhammad,Calvin Schmitz,Jake Bruns,Max Hisatake,Ricardo Whitehead",0,0,0,2,0,2,0,0,0,0,0,0.8333333333333341,0,0,0,1,2,1,1,0,0,0,0,1,2,0,0,0,0,2,0,2,1,1,-2,0,1,0,1,0,0,1,0,1
39,"Ahmad Muhammad,Calvin Schmitz,Jake Digiorgio,Max Hisatake,Otis Reale",4,0,3,6,5,1,3,3,0,3,14,4.08333333333333,0,0,0,1,4,1,3,4,3,1,4,0,5,1,2,0,2,1,1,2,1,1,9,1,1,1,0,3,2,5,4,1
40,"Ahmad Muhammad,Calvin Schmitz,Jake Digiorgio,Max Hisatake,Zach Parduhn",0,0,1,1,1,0,0,0,0,1,2,1.283333333333332,0,1,0,0,2,1,1,0,0,0,1,0,3,0,1,1,0,0,0,1,0,1,-1,0,0,0,0,1,0,1,1,0
41,"Ahmad Muhammad,Calvin Schmitz,Jake Digiorgio,Milos Dugalic,Otis Reale",2,0,3,8,3,5,0,0,0,1,7,5.21666666666667,1,2,0,4,6,3,3,2,2,0,0,0,10,0,3,2,1,4,0,3,1,2,-2,0,2,1,1,4,2,6,2,4
42,"Ahmad Muhammad,Calvin Schmitz,Jake Digiorgio,Otis Reale,Parker Joncus",1,0,1,2,1,1,1,0,1,2,3,1.9833333333333365,0,1,0,2,1,1,0,4,3,1,1,0,6,0,1,1,0,2,1,0,0,0,-3,1,1,1,0,1,0,1,0,1
43,"Ahmad Muhammad,Calvin Schmitz,Max Hisatake,Milos Dugalic,Otis Reale",0,0,0,1,1,0,0,0,0,0,2,1.4,0,1,0,0,2,1,1,0,0,0,0,0,3,0,2,1,1,0,0,0,0,0,-1,0,0,0,0,0,1,1,1,0
44,"Ahmad Muhammad,Calvin Schmitz,Max Hisatake,Otis Reale,Parker Joncus",0,0,2,2,1,1,1,0,1,1,2,1.73333333333333,0,0,0,2,3,1,2,2,2,0,1,0,4,0,1,0,1,2,0,2,1,1,-2,0,0,0,0,2,0,2,1,1
45,"Ahmad Muhammad,Calvin Schmitz,Max Hisatake,Ricardo Whitehead,Zach Parduhn",0,0,1,0,0,0,0,0,0,0,0,0.5666666666666661,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
46,"Ahmad Muhammad,Capriest Gardner,Jake Bruns,Jake Digiorgio,Milos Dugalic",0,0,0,1,0,1,0,0,0,1,0,0.699999999999999,0,0,0,1,2,1,1,0,0,0,0,1,2,0,0,0,0,2,1,2,1,1,-2,0,0,0,0,0,0,1,0,1
47,"Ahmad Muhammad,Capriest Gardner,Jake Bruns,Max Hisatake,Milos Dugalic",2,0,0,7,3,4,0,0,0,3,6,4.333333333333336,1,1,0,3,3,3,0,2,2,0,1,0,8,0,0,0,0,3,3,3,3,0,-2,1,2,0,2,1,2,5,3,2
48,"Ahmad Muhammad,Capriest Gardner,Jake Bruns,Max Hisatake,Parker Joncus",0,1,2,1,0,1,0,0,0,0,0,0.85,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,1,0,1,2,1,0,0,0
49,"Ahmad Muhammad,Capriest Gardner,Jake Digiorgio,Milos Dugalic,Zach Parduhn",0,0,2,2,1,1,0,0,0,0,2,1.26666666666667,0,0,1,1,2,0,2,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,2,0,0,0,0,2,0,2,1,1
50,"Ahmad Muhammad,Capriest Gardner,Jake Digiorgio,Otis Reale,Parker Joncus",0,0,1,2,0,2,0,0,0,1,0,1.6666666666666698,0,0,0,3,2,1,1,2,1,1,0,0,3,0,0,0,0,3,1,2,1,1,-3,1,0,0,0,1,0,2,0,2
51,"Ahmad Muhammad,Cody Mattson,Jake Bruns,Jake Digiorgio,Kohl Linder",0,0,1,2,1,1,0,0,0,1,2,1.55,0,0,0,1,2,1,1,2,2,0,0,0,4,0,0,0,0,1,0,2,1,1,-2,0,0,0,0,1,0,2,1,1
52,"Ahmad Muhammad,Cody Mattson,Jake Bruns,Jake Digiorgio,Max Hisatake",0,0,1,2,0,2,0,0,0,0,0,1.08333333333333,0,0,0,2,2,1,1,0,0,0,0,0,2,0,0,0,0,2,0,2,1,1,-2,0,0,0,0,1,0,2,0,2
53,"Ahmad Muhammad,Jake Bruns,Jake Digiorgio,Kohl Linder,Milos Dugalic",0,0,1,0,0,0,0,0,0,0,0,0.633333333333335,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
54,"Ahmad Muhammad,Jake Bruns,Jake Digiorgio,Kohl Linder,Parker Joncus",0,0,0,0,0,0,0,0,0,1,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,"Ahmad Muhammad,Jake Bruns,Jake Digiorgio,Max Hisatake,Milos Dugalic",1,0,1,4,1,3,4,4,0,1,7,3.1500000000000004,2,3,1,1,7,4,3,1,1,0,2,2,10,0,1,1,0,3,0,6,3,3,-3,0,2,1,1,3,0,2,0,2
56,"Ahmad Muhammad,Jake Bruns,Jake Digiorgio,Max Hisatake,Parker Joncus",2,0,5,7,4,3,4,3,1,4,11,5.21666666666666,1,2,1,2,7,3,4,10,7,3,2,0,13,1,1,0,1,2,3,6,3,3,-1,1,1,0,1,6,4,6,4,2
57,"Ahmad Muhammad,Jake Bruns,Jake Digiorgio,Milos Dugalic,Ricardo Whitehead",0,0,2,3,2,1,0,0,0,1,4,1.95,1,0,0,1,3,1,2,2,0,2,0,0,3,1,2,1,1,1,0,1,0,1,1,0,0,0,0,3,2,3,2,1
58,"Ahmad Muhammad,Jake Bruns,Jake Digiorgio,Otis Reale,Parker Joncus",0,0,2,2,0,2,2,2,0,1,2,1.33333333333333,1,0,0,1,2,0,2,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,2,0,0,0,0,3,0,2,0,2
59,"Ahmad Muhammad,Jake Bruns,Jake Digiorgio,Parker Joncus,Ricardo Whitehead",0,0,0,0,0,0,0,0,0,1,0,1.28333333333333,0,1,0,0,2,1,1,0,0,0,1,0,2,0,1,0,1,0,0,1,1,0,-2,0,0,0,0,0,2,0,0,0
60,"Ahmad Muhammad,Jake Bruns,Kohl Linder,Max Hisatake,Milos Dugalic",0,0,1,3,0,3,2,1,1,2,1,2.2833333333333368,1,0,0,2,4,1,3,3,3,0,1,1,5,0,1,0,1,3,1,3,1,2,-4,0,1,0,1,2,0,2,0,2
61,"Ahmad Muhammad,Jake Bruns,Max Hisatake,Milos Dugalic,Parker Joncus",0,0,1,2,0,2,0,0,0,1,0,1.51666666666667,0,0,0,2,2,1,1,0,0,0,0,0,2,0,0,0,0,2,0,2,1,1,-2,0,1,0,1,1,1,1,0,1
62,"Ahmad Muhammad,Jake Bruns,Max Hisatake,Otis Reale,Parker Joncus",0,0,4,8,3,5,0,0,0,0,6,3.4166666666666696,2,0,0,3,5,1,4,0,0,0,1,0,2,0,2,0,2,3,2,3,1,2,4,1,0,0,0,6,0,8,3,5
63,"Ahmad Muhammad,Jake Digiorgio,Kohl Linder,Milos Dugalic,Otis Reale",0,0,0,1,0,1,0,0,0,1,0,0.44999999999999896,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
64,"Ahmad Muhammad,Jake Digiorgio,Kohl Linder,Otis Reale,Parker Joncus",2,1,2,6,4,2,0,0,0,1,10,4.816666666666663,0,3,0,0,9,5,4,0,0,0,0,1,12,1,4,2,2,1,0,5,3,2,-5,0,3,2,1,2,1,3,2,1
65,"Ahmad Muhammad,Jake Digiorgio,Max Hisatake,Milos Dugalic,Otis Reale",1,0,4,6,1,5,2,2,0,2,4,5.066666666666667,0,2,0,5,7,3,4,3,0,3,4,2,7,1,3,1,2,7,2,4,2,2,-3,0,3,0,3,4,1,3,1,2
66,"Ahmad Muhammad,Jake Digiorgio,Max Hisatake,Milos Dugalic,Zach Parduhn",0,1,1,1,0,1,0,0,0,3,0,1.21666666666667,0,1,0,1,2,1,1,0,0,0,0,0,2,1,0,0,0,1,0,2,1,1,-2,0,0,0,0,1,2,1,0,1
67,"Ahmad Muhammad,Jake Digiorgio,Max Hisatake,Otis Reale,Parker Joncus",10,5,21,47,19,28,16,13,3,14,56,36.333333333333336,9,11,1,17,48,19,29,16,11,5,17,8,54,6,15,5,10,25,5,33,14,19,6,2,14,5,9,30,13,33,14,19
68,"Ahmad Muhammad,Jake Digiorgio,Milos Dugalic,Otis Reale,Parker Joncus",0,2,4,8,3,5,5,5,0,2,11,4.199999999999996,2,2,1,3,6,3,3,4,4,0,6,0,10,1,0,0,0,3,0,6,3,3,1,0,0,0,0,6,2,8,3,5
69,"Ahmad Muhammad,Jake Digiorgio,Milos Dugalic,Parker Joncus,Zach Parduhn",0,0,1,0,0,0,1,0,1,0,0,0.316666666666667,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
70,"Ahmad Muhammad,Jake Digiorgio,Milos Dugalic,Ricardo Whitehead,Zach Parduhn",0,0,0,0,0,0,0,0,0,1,0,0.166666666666666,0,0,0,0,0,0,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0
71,"Ahmad Muhammad,Max Hisatake,Milos Dugalic,Otis Reale,Parker Joncus",1,0,0,1,1,0,0,0,0,3,2,1.05,0,0,0,0,2,0,2,2,2,0,1,2,2,0,0,0,0,2,1,2,0,2,0,0,0,0,0,0,0,1,1,0
72,"Ahmad Muhammad,Max Hisatake,Milos Dugalic,Ricardo Whitehead,Zach Parduhn",1,0,0,2,2,0,0,0,0,0,4,1.16666666666667,0,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,2,2,0
73,"Anthony Mosley,Brett Ott,Capriest Gardner,Milos Dugalic,Zach Parduhn",0,0,3,4,0,4,2,1,1,0,1,2.81666666666667,1,0,0,3,8,2,6,0,0,0,1,3,4,0,1,0,1,6,0,7,2,5,0,0,1,0,1,4,0,3,0,3
74,"Anthony Mosley,Calvin Schmitz,Cody Mattson,Jake Bruns,Ricardo Whitehead",0,0,4,6,2,4,0,0,0,0,5,2.91666666666667,0,1,0,2,5,1,4,0,0,0,1,0,2,1,2,0,2,2,1,3,1,2,3,0,3,1,2,4,1,3,1,2
75,"Anthony Mosley,Calvin Schmitz,Jake Bruns,Jake Digiorgio,Kohl Linder",0,0,1,2,1,1,0,0,0,1,2,1.75,0,1,0,1,3,2,1,2,2,0,0,0,6,0,1,0,1,1,0,2,2,0,-4,0,0,0,0,1,0,2,1,1
76,"Anthony Mosley,Calvin Schmitz,Jake Bruns,Jake Digiorgio,Max Hisatake",2,0,6,15,6,9,4,4,0,7,19,9.8,4,3,0,4,13,5,8,11,9,2,3,2,21,0,3,2,1,6,0,10,3,7,2,0,5,3,2,10,3,10,3,7
77,"Anthony Mosley,Calvin Schmitz,Jake Bruns,Jake Digiorgio,Parker Joncus",0,1,2,2,0,2,0,0,0,0,0,1.85,0,0,0,2,4,1,3,0,0,0,0,1,2,0,1,0,1,3,1,3,1,2,-2,0,0,0,0,2,2,2,0,2
78,"Anthony Mosley,Calvin Schmitz,Jake Bruns,Kohl Linder,Max Hisatake",0,0,0,1,0,1,0,0,0,1,0,0.333333333333334,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
79,"Anthony Mosley,Calvin Schmitz,Jake Bruns,Max Hisatake,Milos Dugalic",0,0,0,1,0,1,0,0,0,1,0,0.433333333333332,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
80,"Anthony Mosley,Calvin Schmitz,Jake Digiorgio,Max Hisatake,Parker Joncus",0,1,1,1,0,1,0,0,0,1,0,0.549999999999999,1,0,0,0,1,0,1,2,1,1,0,0,1,1,0,0,0,0,0,1,0,1,-1,0,0,0,0,2,1,1,0,1
81,"Anthony Mosley,Calvin Schmitz,Jake Digiorgio,Max Hisatake,Zach Parduhn",0,0,0,1,0,1,2,0,2,1,0,1.98333333333333,1,1,0,1,2,2,0,0,0,0,1,0,4,0,0,0,0,1,0,2,2,0,-4,0,1,0,1,1,1,0,0,0
82,"Anthony Mosley,Calvin Schmitz,Jake Digiorgio,Otis Reale,Parker Joncus",0,0,1,1,0,1,0,0,0,0,0,1.78333333333333,0,0,0,1,2,1,1,0,0,0,0,0,2,2,0,0,0,1,0,2,1,1,-2,0,0,0,0,1,2,1,0,1
83,"Anthony Mosley,Calvin Schmitz,Jake Digiorgio,Parker Joncus,Ricardo Whitehead",0,0,1,4,1,3,0,0,0,2,2,1.73333333333333,3,0,0,0,3,1,2,2,1,1,0,1,3,1,2,0,2,1,0,1,1,0,-1,0,0,0,0,4,2,4,1,3
84,"Anthony Mosley,Capriest Gardner,Jake Bruns,Jake Digiorgio,Parker Joncus",0,1,1,3,0,3,0,0,0,0,0,0.9166666666666651,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,0,0,2,0,2,1,0,1,0,1
85,"Anthony Mosley,Capriest Gardner,Jake Bruns,Max Hisatake,Milos Dugalic",1,0,3,4,3,1,3,3,0,2,9,2.28333333333333,1,0,0,0,4,0,4,0,0,0,2,1,0,0,2,0,2,1,0,2,0,2,9,0,0,0,0,4,0,4,3,1
86,"Anthony Mosley,Capriest Gardner,Jake Bruns,Max Hisatake,Parker Joncus",0,0,2,3,1,2,0,0,0,1,3,2.7500000000000018,0,2,0,2,4,2,2,2,1,1,1,0,7,1,3,2,1,2,1,1,0,1,-4,0,2,1,1,2,1,1,0,1
87,"Anthony Mosley,Capriest Gardner,Jake Digiorgio,Max Hisatake,Parker Joncus",0,0,1,1,0,1,0,0,0,1,0,0.983333333333333,0,0,0,1,1,0,1,2,1,1,0,0,1,0,0,0,0,1,0,1,0,1,-1,0,0,0,0,1,1,1,0,1
88,"Anthony Mosley,Capriest Gardner,Jake Digiorgio,Milos Dugalic,Otis Reale",1,1,2,10,5,5,4,4,0,3,14,4.966666666666668,2,2,0,3,8,4,4,0,0,0,3,1,10,0,4,2,2,4,3,4,2,2,4,2,0,0,0,4,2,10,5,5
89,"Anthony Mosley,Capriest Gardner,Jake Digiorgio,Otis Reale,Parker Joncus",1,0,1,3,2,1,0,0,0,0,5,1.8333333333333302,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,2,2,0,2,5,0,2,1,1,1,0,1,1,0
90,"Anthony Mosley,Capriest Gardner,Max Hisatake,Milos Dugalic,Otis Reale",1,1,4,6,2,4,2,1,1,2,5,5.63333333333334,3,3,0,1,7,3,4,0,0,0,2,0,8,1,3,2,1,1,0,4,1,3,-3,0,2,0,2,7,3,4,2,2
91,"Anthony Mosley,Capriest Gardner,Max Hisatake,Otis Reale,Parker Joncus",0,0,1,3,3,0,0,0,0,1,6,3.03333333333333,0,0,0,0,3,2,1,0,0,0,0,0,5,2,2,1,1,0,1,1,1,0,1,0,0,0,0,1,2,3,3,0
92,"Anthony Mosley,Capriest Gardner,Milos Dugalic,Otis Reale,Ricardo Whitehead",2,0,2,7,3,4,4,3,1,2,10,5.8000000000000105,1,3,0,3,6,4,2,2,2,0,3,0,11,0,2,1,1,3,1,4,3,1,-1,0,1,1,0,3,2,6,2,4
